Zone,Élément,Valeur
République-Unie de Tanzanie,Importations - Quantité,6
République-Unie de Tanzanie,Exportations - Quantité,0
Roumanie,Importations - Quantité,130
Roumanie,Exportations - Quantité,93
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,Importations - Quantité,798
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,Exportations - Quantité,383
Rwanda,Importations - Quantité,0
Rwanda,Exportations - Quantité,0
Sainte-Lucie,Importations - Quantité,5
Saint-Kitts-et-Nevis,Importations - Quantité,4
Saint-Vincent-et-les Grenadines,Importations - Quantité,8
Samoa,Importations - Quantité,20
Samoa,Exportations - Quantité,0
Sao Tomé-et-Principe,Importations - Quantité,3
Sénégal,Importations - Quantité,0
Sénégal,Exportations - Quantité,0
Serbie,Importations - Quantité,17
Serbie,Exportations - Quantité,8
Seychelles,Importations - Quantité,3
Seychelles,Exportations - Quantité,0
Sierra Leone,Importations - Quantité,20
Slovaquie,Importations - Quantité,104
Slovaquie,Exportations - Quantité,39
Slovénie,Importations - Quantité,23
Slovénie,Exportations - Quantité,33
Soudan,Importations - Quantité,0
Sri Lanka,Importations - Quantité,0
Sri Lanka,Exportations - Quantité,1
Suède,Importations - Quantité,84
Suède,Exportations - Quantité,30
Suisse,Importations - Quantité,45
Suisse,Exportations - Quantité,2
Suriname,Importations - Quantité,19
Suriname,Exportations - Quantité,0
Tadjikistan,Importations - Quantité,12
Tadjikistan,Exportations - Quantité,0
Tchad,Importations - Quantité,2
Tchéquie,Importations - Quantité,116
Tchéquie,Exportations - Quantité,21
Thaïlande,Importations - Quantité,4
Thaïlande,Exportations - Quantité,921
Timor-Leste,Importations - Quantité,11
Timor-Leste,Exportations - Quantité,0
Togo,Importations - Quantité,25
Togo,Exportations - Quantité,0
Trinité-et-Tobago,Importations - Quantité,25
Trinité-et-Tobago,Exportations - Quantité,0
Tunisie,Importations - Quantité,1
Tunisie,Exportations - Quantité,3
Turkménistan,Importations - Quantité,13
Turkménistan,Exportations - Quantité,0
Turquie,Importations - Quantité,44
Turquie,Exportations - Quantité,522
Ukraine,Importations - Quantité,86
Ukraine,Exportations - Quantité,296
Uruguay,Importations - Quantité,6
Uruguay,Exportations - Quantité,3
Vanuatu,Importations - Quantité,4
Viet Nam,Importations - Quantité,203
Viet Nam,Exportations - Quantité,37
Yémen,Importations - Quantité,140
Zambie,Importations - Quantité,23
Zambie,Exportations - Quantité,9
Zimbabwe,Importations - Quantité,1
Zimbabwe,Exportations - Quantité,0
