Zone,Produit,Année,Valeur
Sainte-Lucie,Viande,2019,21.83
Sainte-Lucie,Viande de Volailles,2019,10.67
Saint-Kitts-et-Nevis,Viande,2019,26.1
Saint-Kitts-et-Nevis,Viande de Volailles,2019,17.68
Saint-Vincent-et-les Grenadines,Viande,2019,34.85
Saint-Vincent-et-les Grenadines,Viande de Volailles,2019,27.1
Samoa,Viande,2019,33.71
Samoa,Viande de Volailles,2019,21.96
Sao Tomé-et-Principe,Viande,2019,6.75
Sao Tomé-et-Principe,Viande de Volailles,2019,4.68
Sénégal,Viande,2019,6.4
Sénégal,Viande de Volailles,2019,2.38
Serbie,Viande,2019,20.77
Serbie,Viande de Volailles,2019,4.4
Seychelles,Viande,2019,24.15
Seychelles,Viande de Volailles,2019,13.92
Sierra Leone,Viande,2019,3.07
Sierra Leone,Viande de Volailles,2019,1.26
Slovaquie,Viande,2019,17.19
Slovaquie,Viande de Volailles,2019,5.19
Slovénie,Viande,2019,22.58
Slovénie,Viande de Volailles,2019,8.52
Soudan,Viande,2019,7.81
Soudan,Viande de Volailles,2019,0.44
Sri Lanka,Viande,2019,3.51
Sri Lanka,Viande de Volailles,2019,2.97
Suède,Viande,2019,26.19
Suède,Viande de Volailles,2019,7.34
Suisse,Viande,2019,23.5
Suisse,Viande de Volailles,2019,7.13
Suriname,Viande,2019,20.41
Suriname,Viande de Volailles,2019,15.53
Tadjikistan,Viande,2019,10.74
Tadjikistan,Viande de Volailles,2019,1.29
Tchad,Viande,2019,18.56
Tchad,Viande de Volailles,2019,0.14
Tchéquie,Viande,2019,24.19
Tchéquie,Viande de Volailles,2019,7.8
Thaïlande,Viande,2019,8.87
Thaïlande,Viande de Volailles,2019,3.8
Timor-Leste,Viande,2019,6.82
Timor-Leste,Viande de Volailles,2019,3
Togo,Viande,2019,5.01
Togo,Viande de Volailles,2019,2.88
Trinité-et-Tobago,Viande,2019,25.15
Trinité-et-Tobago,Viande de Volailles,2019,19.44
Tunisie,Viande,2019,10.55
Tunisie,Viande de Volailles,2019,6.39
Turkménistan,Viande,2019,18.65
Turkménistan,Viande de Volailles,2019,1.6
Turquie,Viande,2019,14.87
Turquie,Viande de Volailles,2019,6.99
Ukraine,Viande,2019,17.74
Ukraine,Viande de Volailles,2019,9.12
Uruguay,Viande,2019,19.04
Uruguay,Viande de Volailles,2019,3.18
Vanuatu,Viande,2019,13.58
Vanuatu,Viande de Volailles,2019,4.52
Venezuela (République bolivarienne du),Viande,2019,10.31
Venezuela (République bolivarienne du),Viande de Volailles,2019,5.35
Viet Nam,Viande,2019,18.01
Viet Nam,Viande de Volailles,2019,4.3
Yémen,Viande,2019,6.92
Yémen,Viande de Volailles,2019,4.3
Zambie,Viande,2019,7.96
Zambie,Viande de Volailles,2019,1.23
Zimbabwe,Viande,2019,6.23
Zimbabwe,Viande de Volailles,2019,1.23
