Domaine,Zone,Élément,Produit,Année,Unité,Valeur
"Bilans Alimentaires (2010-)","Chine, Taiwan Province de","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","215"
"Bilans Alimentaires (2010-)","Chypre","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","13"
"Bilans Alimentaires (2010-)","Chypre","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","15"
"Bilans Alimentaires (2010-)","Colombie","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","55"
"Bilans Alimentaires (2010-)","Colombie","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","115"
"Bilans Alimentaires (2010-)","Comores","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","10"
"Bilans Alimentaires (2010-)","Comores","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","0"
"Bilans Alimentaires (2010-)","Congo","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","71"
"Bilans Alimentaires (2010-)","Congo","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","107"
"Bilans Alimentaires (2010-)","Costa Rica","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","11"
"Bilans Alimentaires (2010-)","Costa Rica","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","15"
"Bilans Alimentaires (2010-)","Côte d'Ivoire","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","0"
"Bilans Alimentaires (2010-)","Côte d'Ivoire","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","1"
"Bilans Alimentaires (2010-)","Croatie","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","22"
"Bilans Alimentaires (2010-)","Croatie","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","30"
"Bilans Alimentaires (2010-)","Cuba","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","184"
"Bilans Alimentaires (2010-)","Cuba","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","294"
"Bilans Alimentaires (2010-)","Danemark","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","75"
"Bilans Alimentaires (2010-)","Danemark","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","142"
"Bilans Alimentaires (2010-)","Djibouti","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","2"
"Bilans Alimentaires (2010-)","Djibouti","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","3"
"Bilans Alimentaires (2010-)","Dominique","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","4"
"Bilans Alimentaires (2010-)","Dominique","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","4"
"Bilans Alimentaires (2010-)","Égypte","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","80"
"Bilans Alimentaires (2010-)","Égypte","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","36"
"Bilans Alimentaires (2010-)","El Salvador","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","16"
"Bilans Alimentaires (2010-)","El Salvador","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","19"
"Bilans Alimentaires (2010-)","Émirats arabes unis","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","547"
"Bilans Alimentaires (2010-)","Émirats arabes unis","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","686"
"Bilans Alimentaires (2010-)","Équateur","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","0"
"Bilans Alimentaires (2010-)","Équateur","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","0"
"Bilans Alimentaires (2010-)","Espagne","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","161"
"Bilans Alimentaires (2010-)","Espagne","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","188"
"Bilans Alimentaires (2010-)","Estonie","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","20"
"Bilans Alimentaires (2010-)","Estonie","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","25"
"Bilans Alimentaires (2010-)","Eswatini","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","2"
"Bilans Alimentaires (2010-)","Eswatini","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","2"
"Bilans Alimentaires (2010-)","États-Unis d'Amérique","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","132"
"Bilans Alimentaires (2010-)","États-Unis d'Amérique","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","123"
"Bilans Alimentaires (2010-)","Éthiopie","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","0"
"Bilans Alimentaires (2010-)","Éthiopie","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","1"
"Bilans Alimentaires (2010-)","Fédération de Russie","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","252"
"Bilans Alimentaires (2010-)","Fédération de Russie","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","232"
"Bilans Alimentaires (2010-)","Fidji","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","1"
"Bilans Alimentaires (2010-)","Fidji","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","5"
"Bilans Alimentaires (2010-)","Finlande","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","15"
"Bilans Alimentaires (2010-)","Finlande","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","17"
"Bilans Alimentaires (2010-)","France","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","464"
"Bilans Alimentaires (2010-)","France","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","541"
"Bilans Alimentaires (2010-)","Gabon","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","84"
"Bilans Alimentaires (2010-)","Gabon","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","72"
"Bilans Alimentaires (2010-)","Gambie","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","13"
"Bilans Alimentaires (2010-)","Gambie","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","25"
"Bilans Alimentaires (2010-)","Géorgie","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","42"
"Bilans Alimentaires (2010-)","Géorgie","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","54"
"Bilans Alimentaires (2010-)","Ghana","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","121"
"Bilans Alimentaires (2010-)","Ghana","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","153"
